bg,0,17,C,0
魔物,80204,in,L,0
アイズ,80231,in,R,0
アイズ,80231,fast_slide_l,R,0
se,0,SE_ZANGEKI_01,L,0
issen,0,,L,0
wait,0,0.5,L,0
魔物,80204,dmg,L,0
wait,0,0.5,L,0
魔物,80204,dead_zako,L,0
wait,0,0.5,L,0
アイズ,80231,out,R,0
wait,0,0.5,R,0
bgm,0,BGM_DRAMA_HAPPY,L,0
ピリカ,80004,手伝ってくれてありがとうね！<br>アイズもベルも…みんな強いんだね！,L,0
アイズ,8168,ユグドは……街の中にもモンスターが出るの？,R,0
ピリカ,80007,もんすた？　ああ、魔物のこと？<br>うん、なるべく入れないようにはしてるけどね,L,0
ピリカ,80004,だからオイラたち義勇軍ががんばってるのさ,L,0
アイズ,8168,……義勇軍？<br>なら、魔物やこの土地に詳しい……のかな？,R,0
ピリカ,80004,shake_v,L,0
ピリカ,80004,うん、調査だったらオイラたちに<br>聞いてくれればいいよ,L,0
ピリカ,80004,アイズたちの世界のことも<br>色々教えてほしいしね！,L,0
ベル,8175,うん、せっかく出会えたんだし、<br>おたがいのことをよく知りたいね,R,0
ベル,8175,それにしても――不思議だね。<br>ふたつの世界がつながるなんて……,R,0
ピリカ,80008,うん、いったいなぜそんな穴が開いたのか……<br>オイラたちとしても調べたいよ,L,0
