bg,0,331,C,0
bgm,0,BGM_DRAMA_HAPPY,L,0
オリヴィア,12010,さあ、中層部へ向かおう,L,0
フェーベ,12008,おじさん、鉄道建設用の通路を<br>案内してくれる？,R,0
機械技師,80160,ああ、だが登るのは時間がかかるよ。<br>私たちは１日半かかった,L,0
グリゼルディス,12048,１日半か。そのあいだに情報部の待ち伏せを<br>受けてしまうかもしれないわね,R,0
レアーオ,5060,ならば鉄道で向かおう。<br>こいつに案内させる,R,0
反長官派兵士,80164,in,L,0
反長官派兵士,80164,shake_random,L,0
反長官派兵士,80164,ううっ……,L,0
オリヴィア,12010,この男……！,R,0
エイラ,5069,逃げようとしてたのを捕まえたの,R,0
反長官派兵士,80164,お、おのれ、こんなはずでは……,L,0
レアーオ,5060,わかってるな。妙な行動をとれば<br>汽車を動かす石炭になってもらうぞ,R,0
反長官派兵士,80164,shake_random:L,L,0
反長官派兵士,80164,ひぃっ！,L,0
グリゼルディス,12048,……案内よろしくね,R,0
反長官派兵士,80164,shake_h,L,0
反長官派兵士,80164,は、はい～～～っ！,L,1
下層民,80162,俺たちも連れていってくれ！,L,0
グリゼルディス,12048,shake_random:S,R,0
グリゼルディス,12048,！！,R,0
下層民,80162,ロクに機械化してない下層民が<br>たった十数人じゃ大して力になれねぇけど……,L,0
グリゼルディス,12048,あなたたちは……！,R,0
下層民,80162,shake_random:S,L,0
下層民,80162,あんたらは、今までずっと<br>この大陸のために戦ってくれていた,L,0
下層民,80162,なのに一度でも疑った俺たちは、大馬鹿者だ！<br>本当にすまねぇっ！,L,0
グリゼルディス,12048,…………,R,0
下層民,80162,他のヤツも、心の底ではあんたらを信じてる。<br>今は混乱してるだけなんだ,L,0
下層民,80162,だから俺たちは、そいつらが<br>立ち上がれるための架け橋になりてぇ,L,0
エイラ,5069,ふふっ、架け橋か……,R,0
下層民,80162,許してくれなんて言えた義理じゃねぇ。<br>だけど、せめて戦わせてくれねぇか？,L,0
グリゼルディス,12048,もちろんよ、来てくれてありがとう！<br>みんなと肩を並べられて嬉しいわ,R,0
ユニ,2014,温かい心を持っている人たち。<br>よかった、通じた……,R,0
アリーナ,12004,in,L,0
アリーナ,12004,shake_v:0.5,L,0
アリーナ,12004,そうだね！,L,0
レアーオ,5060,私も敵も、人の強さを甘く見ていた,R,0
レアーオ,5060,例えひとりの心は脆くとも<br>心と心が繋れば大きな力になる,R,0
レアーオ,5060,オリヴィア、お前の言う通りだったな,R,0
オリヴィア,12010,そうとも、それこそが私たちだ。<br>さあ、出発しよう！,L,0
bgm,0,,L,0
グリゼルディス,12048,待って、なにかがたくさん近づいてくる！,R,0
bgm,0,BGM_DRAMA_URGENT_01,L,0
レアーオ,5060,おい、お前！<br>仲間を呼んだのか！,R,0
反長官派兵士,80164,ご、誤解です！　このあたりは<br>機械化動物やゴーレムが出るんですよぉ！,L,0
グリゼルディス,12048,彼の言う通りよ、魔物の足音だわ,R,0
オリヴィア,12010,やむを得ん、迎撃だ！,L,0
