bg,0,331,C,0
bgm,0,BGM_DRAMA_HAPPY,L,0
オリヴィア,12010,救援感謝する。義勇軍、それから……,L,0
グリゼルディス,12048,グリゼルディスよ。<br>ちゃんと話すのは初めてね,R,0
オリヴィア,12010,君は確か、情報部で<br>秘書をやってるのではなかったか？,L,0
グリゼルディス,12048,……もう隠す必要はないわね。<br>私はレジスタンスのメンバーよ,R,0
グリゼルディス,12048,下層民狩りについて探るため、<br>諜報員として情報部に潜入していたの,R,0
オリヴィア,12010,……なるほど。そのあたりの事情は<br>またあとで聞こう,L,0
オリヴィア,12010,我々はレジスタンスと<br>コンタクトをとるためにここへ来た,L,0
グリゼルディス,12048,反長官派として、ということかしら,R,0
オリヴィア,12010,shake_v,L,0
オリヴィア,12010,ああ、そう考えてくれ。<br>上層部での戦いは、かなり旗色が悪い,L,0
オリヴィア,12010,事前に長官の動きを掴んでいたにもかかわらず、<br>動くことができなかったのが大きいな,L,0
グリゼルディス,12048,……あなたたちは、いつも遅いのよ,R,0
オリヴィア,12010,それは認める、弁明はしない。<br>……だが、言い方というものがあるだろう,L,0
グリゼルディス,12048,……,R,0
オリヴィア,12010,……,L,0
ピリカ,80007,ま、まあまあ、ふたりとも。<br>とりあえずアジトへ行くんでしょ？　ね？,L,0
