bg,0,19,C,0
bgm,0,BGM_DRAMA_URGENT_01,L,0
魔物,80204,in,L,0
オネット,3022,……くっ,R,0
se,0,SE_ARROW_SHOT_01,R,0
atk,0,strike,L,0
wait,0,0.5,L,0
se,0,SE_ARROW_HIT_01,L,0
魔物,80204,dmg,L,0
wait,0,0.5,L,0
魔物,80204,dead_enemy,L,0
wait,0,0.5,L,0
ピリカ,80007,オネット！,L,0
オネット,3022,まだ、大丈夫です……<br>それよりケント君の身が心配です,R,0
オネット,3022,このあいだ来た時より数が多い。<br>黒の軍勢は、もしかしたら前は偵察に,R,0
ケント,80114,う、うあああ！<br>ガイコツが、いっぱい！？,L,0
フィーナ,80005,あっ……あの男の子は！,L,0
オネット,3022,……させない！！,R,0
魔物,80204,！,L,0
魔物,80204,fast_slide_r,L,0
se,0,SE_GUARD,L,0
オネット,3022,dmg,R,0
オネット,3022,っ……<br>怪我はありませんか、ケント君！,R,0
ケント,80114,お、オレより、オネットの身体がっ,L,0
オネット,3022,私は……平気です。魔導人形故、<br>ヒトであるあなたより、幾らか頑丈ですから,R,0
ケント,80114,……オネット,L,0
魔物,80204,！！,L,0
ピリカ,80008,オネット、援護するよ！,R,0
フィーナ,80005,さ、ケントさんはこっちへ。<br>……※※※※※※さん！,R,0
