bg,0,331,C,0
bgm,0,BGM_DRAMA_URGENT_01,L,0
反長官派兵士,80164,撤収するぞ、汽車を出せ,L,0
エイラ,5069,待ちなさい,R,0
レアーオ,5060,ただで帰れると思うな、外道,R,0
反長官派兵士,80164,shake_random,L,0
反長官派兵士,80164,ちっ！,L,0
エイラ,5069,……５０年ほど前、<br>わたしたちの故郷で内乱があった,R,0
エイラ,5069,あなたのような<br>卑劣な人間が引き起こしたのよ,R,0
エイラ,5069,大事な宝物が奪われただけじゃない。<br>多くの仲間が血と涙を流したわ,R,0
反長官派兵士,80164,な、なにを言っている……,L,0
エイラ,5069,わたしは騎士、どこであろうと使命は同じ。<br>あなたを許さない,R,0
反長官派兵士,80164,shake_h,L,0
反長官派兵士,80164,フン、あんな策に踊らされる<br>民衆の弱さを恨むのだな！,L,0
レアーオ,5060,弱い者は醜い。<br>だからこそ力を持つ者が守り、導くのだ,R,0
レアーオ,5060,さあ、覚悟はいいか？<br>民に代わって貴様を討つ！,R,0
反長官派兵士,80164,shake_random,L,0
反長官派兵士,80164,う、うあああっ、くるなああっ！！,L,1
