bg,0,333,C,0
bgm,0,BGM_DRAMA_HAPPY,L,0
グリゼルディス,12048,in,R,0
グリゼルディス,12048,shake_h,R,0
グリゼルディス,12048,……,R,0
アリーナ,12004,……,L,0
グリゼルディス,12048,shake_v:0.5,R,0
グリゼルディス,12048,……,R,0
アリーナ,12004,……,L,0
グリゼルディス,12048,shake_random:S,R,0
グリゼルディス,12048,んん？,R,0
アリーナ,12004,じーっ,L,0
グリゼルディス,12048,shake_random,R,0
グリゼルディス,12048,アリーナ！？<br>聴力機能を切っていたから気づかなかったわ,R,0
アリーナ,12004,shake_v,L,0
アリーナ,12004,邪魔してごめんね。<br>薬品の調合って、どんなのかなーと思って,L,0
アリーナ,12004,グリゼルディスはさ、平和になったら<br>薬品研究の仕事に戻るんだよね,L,0
グリゼルディス,12048,そのつもりよ。<br>一番性に合ってる気がするの,R,0
グリゼルディス,12048,自分だけの静かな世界に向き合って、<br>ひたすら研究に没頭する……,R,0
グリゼルディス,12048,戦いや政治は大切なことだけど、<br>嫌なことも聞こえてしまうから……,R,0
グリゼルディス,12048,この耳をつけてからは、余計にね,R,0
アリーナ,12004,……,L,0
グリゼルディス,12048,アリーナは、平和になったら<br>やりたいことってある？,R,0
アリーナ,12004,shake_h,L,0
アリーナ,12004,あはは、サッパリ……みんな、すごいよ。<br>先のことをちゃんと考えてて,L,0
グリゼルディス,12048,焦らなくたっていいのよ,R,0
グリゼルディス,12048,自由に生き方を決められる時代を<br>作れるように、一緒に頑張りましょう,R,0
アリーナ,12004,うん……そうだね。<br>今はそのために戦うよ！,L,0
bgm,0,BGM_DRAMA_URGENT_01,L,0
レジスタンス,80162,姐さん、ここにいたか！,L,0
グリゼルディス,12048,敵襲？,R,0
レジスタンス,80162,いや。上層部から降りてきた汽車が、<br>救援要請の狼煙を上げてるんだ,L,0
レジスタンス,80162,偵察兵の話だと<br>どうも無人機に追いかけられてるらしい,L,0
アリーナ,12004,きっと上層部から逃げてきた人が<br>乗ってるんだよ！,L,0
グリゼルディス,12048,私たちをおびきだす罠という<br>可能性もあるけど……行ってみましょう！,R,0
