bg,0,331,C,0
bgm,0,BGM_DRAMA_HAPPY,L,0
アリーナ,12004,お～い、大丈夫～？,R,0
反長官派兵士,80164,救援感謝する。物資を運んできたんだが、<br>情報部の連中に見つかってしまったんだ,L,0
オリヴィア,12010,つまり君は、反長官派……<br>と考えていいんだな？,R,0
反長官派兵士,80164,shake_v,L,0
反長官派兵士,80164,ああ。上層部の戦況はかなり劣勢だ。<br>レジスタンスに手を貸して欲しい,L,0
反長官派兵士,80164,代わりと言ってはなんだが、<br>武器や弾薬、それに無人機を持ってきた,L,0
反長官派兵士,80164,もし我々を仲間に加えてもらえるのなら、<br>自由に使ってくれて構わない,L,0
フェーベ,12008,よかったね、グリゼルディスさん。<br>軍人さんが増えて頼もしいよ,R,0
フェーベ,12008,武器や弾薬が補充できそうだしね,R,0
グリゼルディス,12048,ええ、驚くほどベストタイミングだわ,R,0
フェーベ,12008,んん？,R,0
反長官派兵士,80164,いきなり現れて、信じてくれというのは<br>虫がよすぎるのはわかっている,L,0
反長官派兵士,80164,それに、これまでの機族の行いを考えれば<br>受け入れがたいという感情も当然だろう,L,0
グリゼルディス,12048,気分を悪くしたのならごめんなさい。<br>そういうわけではないの,R,0
グリゼルディス,12048,レジスタンスも下層民も<br>上層部の人と手を取り合うことを喜ぶはずよ,R,0
グリゼルディス,12048,ただ、あなたたちを信じるためにも<br>慎重にならなくてはと思って,R,0
オリヴィア,12010,グリゼルディス、なんにせよ<br>まずは話を聞いてみないか？,L,0
グリゼルディス,12048,そうね。今のアジトは人がいっぱいだから、<br>別のアジトへ移動しましょう,R,0
