bg,0,27,C,0
bgm,0,BGM_DRAMA_URGENT_01,C,0
魔物,80204,in,L,0
ベル,80232,in,R,0
ベル,80232,fast_slide_l,R,0
se,0,SE_ZANGEKI_01,L,0
slash,0,,L,0
wait,0,0.5,C,0
魔物,80204,dmg,L,0
wait,0,0.5,C,0
魔物,80204,dead_zako,L,0
wait,0,0.5,C,0
ベル,80232,out,R,0
wait,0,0.5,C,0
魔物,80204,in,R,0
カイン,40,in,L,0
カイン,40,fast_slide_r,L,0
se,0,SE_ZANGEKI_01,C,0
issen,0,,R,0
wait,0,0.5,C,0
魔物,80204,dmg,R,0
wait,0,0.5,C,0
魔物,80204,dead_zako,R,0
wait,0,0.5,C,0
カイン,40,くそっ、数が多すぎるぜ！,L,0
null,0,グオォォォォォン！！！,C,1
ベル,80232,またドラゴンの声……！,R,0
カイン,40,この声のたびに魔物が恐慌状態になって<br>めちゃめちゃにふもとに突っ込んでくんだよ！,L,0
ベル,80232,shake_h,R,0
ベル,80232,先に……あのドラゴンを<br>眠らせないとダメなんだ！,R,0
ピリカ,80007,そんなこと言ってもこの状態じゃ<br>ちっともドラゴンまで近づけないよ！,L,0
ベル,80232,shake_v,R,0
ベル,80232,僕が……行く！　みんなは他の魔物をお願い！,R,0
ピリカ,80008,ひとりじゃ無茶だよ！<br>あのドラゴンの大きさを見たでしょ？,L,0
ベル,80232,眠らせるだけでいいんだ！<br>伝説の英雄と同じように、眉間に一撃を！,R,0
ベル,80232,shake_h,R,0
ベル,80232,out,R,0
wait,0,0.5,C,0
ピリカ,80008,out,L,0
wait,0,0.5,L,0
魔物,80204,in,L,0
黒の軍勢Ｂ,80205,in,R,0
ベル,80232,in_from_r,C,0
ベル,80232,out_to_l,C,0
se,0,SE_ZANGEKI_01,C,0
issen,0,,L,0
魔物,80204,dmg,L,0
se,0,SE_ZANGEKI_01,L,0
slash,0,,R,0
黒の軍勢Ｂ,80205,dmg,R,0
wait,0,0.5,C,0
魔物,80204,dead_zako,L,0
黒の軍勢Ｂ,80205,dead_zako,R,0
wait,0,0.5,C,0
null,0,リン……リン……リン……,C,0
fadeIn,0,black,L,0
wait,0,0.5,C,0
fadeOut,0,,C,0
ピリカ,80007,すっごい速さで駆け上がってく……！,L,0
カイン,40,俺たちはこのまま魔物を抑える！<br>隊長はベルを追いかけて、助けてやってくれ！,R,0
